period_years,iter,interval_start,interval_end,FEA,FEB,VRFI0,A0,B0,Qturb_total_Hm3,Rebalse_total_Hm3,Qdis_prom_Hm3_mes,Satisf_prom_pct,Def_modelo_Hm3,Def_FE_Hm3,Def_total_Hm3,VRFI_fin_Hm3,A_fin_Hm3,B_fin_Hm3,TOTAL_fin_Hm3
10,2,1999/2000,2008/2009,0.6,0.6,87.5,130.0,52.5,8794.3499837,4600.053704483999,72.57346559999999,75.94262525491122,1328.6840827840003,3681.9869080000003,5010.670990784,95.22392830000015,0.0,50.241960000000006,145.46588830000016
10,3,2009/2010,2018/2019,0.6,0.6,87.5,130.0,52.5,4138.050146540604,677.3489814406001,33.45598079999999,62.660030242200534,2062.2791968999986,3681.9869080000003,5744.266104899999,57.42558945940011,0.0,50.241960000000006,107.6675494594001
10,1,1989/1990,1998/1999,0.6,0.6,131.3,195.0,78.8,8416.809356000009,4525.280491227,67.09193280000004,70.46066814845209,1631.451497227,3681.9869080000003,5313.438405227,0.0,0.0,1.6225800000000135,1.6225800000000135
10,2,1999/2000,2008/2009,0.6,0.6,131.3,195.0,78.8,8929.449983699998,4735.153704484,72.57346559999999,75.94262525491122,1328.6840827840003,3681.9869080000003,5010.670990784,95.22392830000015,0.0,50.241960000000006,145.46588830000016
10,3,2009/2010,2018/2019,0.6,0.6,131.3,195.0,78.8,4273.150146540602,812.4489814406002,33.45598079999999,62.660030242200506,2062.2791968999986,3681.9869080000003,5744.266104899999,57.425589459400435,0.0,50.241960000000006,107.66754945940045
10,1,1989/1990,1998/1999,0.6,0.6,175.0,260.0,105.0,8551.709356000005,4660.180491227,67.09193280000004,70.46066814845209,1631.451497227,3681.9869080000003,5313.438405227,0.0,0.0,1.6225800000000135,1.6225800000000135
10,2,1999/2000,2008/2009,0.6,0.6,175.0,260.0,105.0,9064.349983699996,4870.053704483998,72.57346559999999,75.94262525491122,1328.6840827840003,3681.9869080000003,5010.670990784,95.22392830000015,0.0,50.241960000000006,145.46588830000016
10,3,2009/2010,2018/2019,0.6,0.6,175.0,260.0,105.0,4408.050146540602,947.3489814406001,33.45598079999999,62.660030242200534,2062.2791968999986,3681.9869080000003,5744.266104899999,57.4255894594002,0.0,50.241960000000006,107.6675494594002
10,1,1989/1990,1998/1999,0.7,0.7,0.0,0.0,0.0,8013.331935999997,4196.03518053,67.09193280000004,59.24280792410523,2626.180333529999,2761.4901810000024,5387.670514530002,0.0,0.0,0.0,0.0
10,2,1999/2000,2008/2009,0.7,0.7,0.0,0.0,0.0,8594.30313705,4015.4393554595,72.57346559999999,71.06200143719474,1864.6133074095003,2761.4901810000024,4626.1034884095025,34.39711495,0.0,41.11562000000001,75.51273495000001
10,3,2009/2010,2018/2019,0.7,0.7,0.0,0.0,0.0,3911.9336314500006,334.08661226950005,33.45598079999999,55.526650747131995,2865.6300698195,2761.4901810000024,5627.120250819502,22.668444550000025,0.0,41.11562000000001,63.78406455000003
10,1,1989/1990,1998/1999,0.7,0.7,43.8,65.0,26.3,8148.431935999995,4196.03518053,67.09193280000004,61.33950196264905,2491.0803335299997,2761.4901810000024,5252.570514530002,0.0,0.0,0.0,0.0
10,2,1999/2000,2008/2009,0.7,0.7,43.8,65.0,26.3,8729.403137049998,4087.1502025795,72.57346559999999,72.04577389427719,1801.2241545295003,2761.4901810000024,4562.714335529503,34.39711495,0.0,41.11562000000001,75.51273495000001
10,3,2009/2010,2018/2019,0.7,0.7,43.8,65.0,26.3,4047.033631450001,450.6281931495,33.45598079999999,55.81466944982409,2847.0716506995,2761.4901810000024,5608.561831699502,22.668444549999997,0.0,41.11562000000001,63.784064550000004
10,1,1989/1990,1998/1999,0.7,0.7,87.5,130.0,52.5,8283.331935999991,4196.3601805299995,67.09193280000004,63.4280482264317,2356.505333529999,2761.4901810000024,5117.995514530001,0.0,0.0,0.0,0.0
10,2,1999/2000,2008/2009,0.7,0.7,87.5,130.0,52.5,8864.30313705,4222.0502025794995,72.57346559999999,72.04577389427719,1801.2241545295003,2761.4901810000024,4562.714335529503,34.39711495,0.0,41.11562000000001,75.51273495000001
10,3,2009/2010,2018/2019,0.7,0.7,87.5,130.0,52.5,4181.933631450001,585.5281931495001,33.45598079999999,55.81466944982409,2847.0716506995,2761.4901810000024,5608.561831699502,22.668444549999997,0.0,41.11562000000001,63.784064550000004
10,1,1989/1990,1998/1999,0.7,0.7,131.3,195.0,78.8,8418.431935999994,4231.3458001855,67.09193280000004,64.98178045767389,2256.390953185499,2761.4901810000024,5017.881134185502,0.0,0.0,0.0,0.0
10,2,1999/2000,2008/2009,0.7,0.7,131.3,195.0,78.8,8999.403137049998,4357.1502025795,72.57346559999999,72.04577389427719,1801.2241545295003,2761.4901810000024,4562.714335529503,34.39711495,0.0,41.11562000000001,75.51273495000001
10,3,2009/2010,2018/2019,0.7,0.7,131.3,195.0,78.8,4317.033631449999,720.6281931495001,33.45598079999999,55.81466944982409,2847.071650699499,2761.4901810000024,5608.561831699501,22.668444550000004,0.0,41.11562000000001,63.78406455000001
10,1,1989/1990,1998/1999,0.7,0.7,175.0,260.0,105.0,8553.331935999997,4366.2458001855,67.09193280000004,64.98178045767389,2256.390953185499,2761.4901810000024,5017.881134185502,0.0,0.0,0.0,0.0
10,2,1999/2000,2008/2009,0.7,0.7,175.0,260.0,105.0,9134.303137049998,4492.0502025795,72.57346559999999,72.04577389427719,1801.2241545295003,2761.4901810000024,4562.714335529503,34.39711495,0.0,41.11562000000001,75.51273495000001
10,3,2009/2010,2018/2019,0.7,0.7,175.0,260.0,105.0,4451.933631449999,855.5281931495001,33.45598079999999,55.814669449824095,2847.071650699499,2761.4901810000024,5608.561831699501,22.668444550000004,0.0,41.11562000000001,63.78406455000001
10,1,1989/1990,1998/1999,0.8,0.8,0.0,0.0,0.0,8013.656936000002,3954.7619254399997,67.09193280000004,55.11827054220478,3305.078805440001,1840.9934539999992,5146.07225944,0.0,0.0,0.0,0.0
10,2,1999/2000,2008/2009,0.8,0.8,0.0,0.0,0.0,8636.641226799997,3764.4825179079994,72.57346559999999,66.16208626796124,2491.815107108001,1840.9934539999992,4332.8085611080005,1.1853651999999935,0.0,31.989279999999994,33.174645199999986
10,3,2009/2010,2018/2019,0.8,0.8,0.0,0.0,0.0,3944.0534160000007,279.7728975079999,33.45598079999999,49.75955387742515,3699.6932975080003,1840.9934539999992,5540.686751507999,0.0,0.0,31.989279999999994,31.989279999999994
10,1,1989/1990,1998/1999,0.8,0.8,43.8,65.0,26.3,8148.7569360000025,3954.7619254399997,67.09193280000004,56.952877825930585,3169.9788054400005,1840.9934539999992,5010.97225944,0.0,0.0,0.0,0.0
10,2,1999/2000,2008/2009,0.8,0.8,43.8,65.0,26.3,8771.741226799997,3811.618569027999,72.57346559999999,67.35660367225833,2403.851158228001,1840.9934539999992,4244.844612228,1.1853651999999935,0.0,31.989279999999994,33.174645199999986
10,3,2009/2010,2018/2019,0.8,0.8,43.8,65.0,26.3,4079.1534160000015,391.1280659879999,33.45598079999999,50.08199977570373,3675.948465988,1840.9934539999992,5516.941919987999,0.0,0.0,31.989279999999994,31.989279999999994
10,1,1989/1990,1998/1999,0.8,0.8,87.5,130.0,52.5,8283.656936000001,3954.7619254399997,67.09193280000004,58.784769184736014,3035.078805440001,1840.9934539999992,4876.07225944,0.0,0.0,0.0,0.0
10,2,1999/2000,2008/2009,0.8,0.8,87.5,130.0,52.5,8906.641226799997,3946.518569027999,72.57346559999999,67.35660367225833,2403.851158228001,1840.9934539999992,4244.844612228,1.1853651999999935,0.0,31.989279999999994,33.174645199999986
10,3,2009/2010,2018/2019,0.8,0.8,87.5,130.0,52.5,4214.053415999998,526.028065988,33.45598079999999,50.08199977570373,3675.948465988001,1840.9934539999992,5516.941919988,0.0,0.0,31.989279999999994,31.989279999999994
10,1,1989/1990,1998/1999,0.8,0.8,131.3,195.0,78.8,8418.756936000002,3979.1243650399992,67.09193280000004,60.288543684305736,2924.341245040001,1840.9934539999992,4765.3346990400005,0.0,0.0,0.0,0.0
10,2,1999/2000,2008/2009,0.8,0.8,131.3,195.0,78.8,9041.741226799995,4081.618569027999,72.57346559999999,67.35660367225833,2403.8511582280016,1840.9934539999992,4244.844612228001,1.1853651999999935,0.0,31.989279999999994,33.174645199999986
10,3,2009/2010,2018/2019,0.8,0.8,131.3,195.0,78.8,4349.153415999997,661.128065988,33.45598079999999,50.081999775703714,3675.9484659880013,1840.9934539999992,5516.941919988,0.0,0.0,31.989279999999994,31.989279999999994
